"SONG_ID","TITLE","SP BEGINNER","SP NORMAL","SP HYPER","SP ANOTHER","SP LEGGENDARIA","DP NORMAL","DP HYPER","DP ANOTHER","DP LEGGENDARIA","SPB","SPN","SPH","SPA","SPL","DPN","DPH","DPA","DPL"
"69","Time is money","NULL","308","327","NULL","NULL","317","327","NULL","NULL","NULL","3","3","NULL","NULL","3","3","NULL","NULL"
"70","V","173","646","1272","1519","NULL","757","1385","1504","NULL","NULL","5","10","12","NULL","6","10","11","NULL"
"71","BALLAD FOR YOU～想いの雨～","NULL","297","387","537","NULL","375","546","NULL","NULL","NULL","4","5","7","NULL","5","8","NULL","NULL"
"72","Blueberry Stream","NULL","429","770","846","NULL","598","817","868","NULL","NULL","5","7","8","NULL","7","9","10","NULL"
"73","Buffalo","NULL","511","744","932","NULL","479","744","932","NULL","NULL","5","7","10","NULL","4","8","10","NULL"
"74","Colors (radio edit)","NULL","751","1011","1258","NULL","714","1099","1255","NULL","NULL","6","9","12","NULL","6","10","12","NULL"
"75","fly through the night","NULL","452","688","863","NULL","452","688","981","NULL","NULL","4","7","8","NULL","4","8","10","NULL"
"76","Free Style","NULL","473","571","664","NULL","473","579","NULL","NULL","NULL","5","6","7","NULL","6","6","NULL","NULL"
"77","Frozen Ray (original mix)","NULL","669","897","909","NULL","428","839","937","NULL","NULL","6","9","9","NULL","5","9","9","NULL"
"78","G2","NULL","752","942","1188","NULL","665","830","1377","NULL","NULL","8","9","11","NULL","6","7","12","NULL"
"79","L’amour et la liberte","NULL","521","811","NULL","NULL","521","811","NULL","NULL","NULL","5","8","NULL","NULL","5","8","NULL","NULL"
"80","Linus","NULL","489","789","1105","NULL","585","1007","1210","NULL","NULL","5","9","11","NULL","5","9","11","NULL"
"81","NEMESIS","NULL","524","839","973","NULL","667","977","1367","NULL","NULL","5","9","11","NULL","7","10","12","NULL"
"82","rottel-da-sun","NULL","417","692","936","NULL","418","693","NULL","NULL","NULL","5","8","10","NULL","5","8","NULL","NULL"
"83","route 80s","NULL","457","614","766","NULL","562","765","900","NULL","NULL","6","8","9","NULL","7","11","12","NULL"
"84","Silhoette of My Mind","NULL","304","403","NULL","NULL","339","451","NULL","NULL","NULL","4","6","NULL","NULL","5","7","NULL","NULL"
"85","SOMETHING WONDERFUL","NULL","471","688","1003","NULL","458","690","1003","NULL","NULL","6","8","10","NULL","4","8","11","NULL"
"86","Summer Vacation(CU mix)","NULL","667","949","NULL","NULL","984","1328","NULL","NULL","NULL","6","9","NULL","NULL","9","12","NULL","NULL"
"87","Take It Easy","NULL","760","1229","1282","NULL","745","1356","NULL","NULL","NULL","7","10","11","NULL","6","11","NULL","NULL"
"88","VJ ARMY","NULL","663","893","972","NULL","658","839","1138","NULL","NULL","6","7","8","NULL","5","7","10","NULL"
"89","19,November","NULL","560","733","910","NULL","589","733","1045","NULL","NULL","5","6","8","NULL","5","7","10","NULL"
"90","こっちを向いてよ","NULL","438","667","703","NULL","625","767","1127","NULL","NULL","5","6","7","NULL","6","9","11","NULL"
"91","電人イェーガーのテーマ (Theme of DENJIN J)","NULL","563","796","NULL","NULL","700","835","NULL","NULL","NULL","5","7","NULL","NULL","8","10","NULL","NULL"
"92","A","NULL","666","1111","1260","NULL","613","1119","1343","NULL","NULL","6","10","12","NULL","8","11","12","NULL"
"93","AVE DE RAPINA","NULL","713","882","934","NULL","948","1113","NULL","NULL","NULL","6","8","9","NULL","8","10","NULL","NULL"
"94","Bad Routine","NULL","522","716","964","NULL","566","716","1042","NULL","NULL","5","7","9","NULL","6","7","9","NULL"
"95","BRING HER DOWN","NULL","533","745","900","NULL","751","1010","NULL","NULL","NULL","5","7","9","NULL","7","10","NULL","NULL"
"96","Burning Heat! (Full Option Mix)","NULL","361","494","755","931","359","496","789","945","NULL","4","5","7","10","4","5","9","10"
"97","CLOUDY MUSIC","NULL","422","620","NULL","NULL","422","619","NULL","NULL","NULL","5","7","NULL","NULL","5","8","NULL","NULL"
"98","D2R","NULL","494","671","823","NULL","525","665","NULL","NULL","NULL","5","6","8","NULL","5","6","NULL","NULL"
"99","DESTINY","NULL","546","700","925","NULL","575","700","NULL","NULL","NULL","5","6","8","NULL","4","6","NULL","NULL"
"100","entrance","NULL","480","740","845","NULL","648","778","1150","NULL","NULL","5","8","9","NULL","6","8","10","NULL"
"101","Glorious Days","NULL","262","411","463","NULL","395","461","NULL","NULL","NULL","3","5","6","NULL","6","7","NULL","NULL"
"102","Happy Wedding","NULL","620","872","940","NULL","610","899","1061","NULL","NULL","6","7","8","NULL","6","8","10","NULL"
"103","i feel ...","NULL","454","556","626","NULL","527","556","NULL","NULL","NULL","4","5","7","NULL","4","5","NULL","NULL"
"104","Let the Snow Paint Me","NULL","431","537","624","NULL","485","559","NULL","NULL","NULL","4","6","7","NULL","6","7","NULL","NULL"
"105","Love Me Do","NULL","571","857","1058","NULL","577","899","NULL","NULL","NULL","5","7","9","NULL","5","7","NULL","NULL"
"106","Marmalade Reverie","NULL","436","504","638","NULL","580","704","921","NULL","NULL","4","5","7","NULL","6","7","9","NULL"
"107","MAX 300","NULL","571","982","NULL","NULL","566","982","NULL","NULL","NULL","8","10","NULL","NULL","6","10","NULL","NULL"
"108","Spica","NULL","328","772","1167","NULL","327","782","1203","NULL","NULL","4","9","11","NULL","3","9","12","NULL"
"109","Tomorrow Perfume","NULL","685","1000","1085","NULL","729","1212","1311","NULL","NULL","6","9","9","NULL","6","10","11","NULL"
"110","ZERO-ONE","NULL","556","874","1132","1448","556","874","1169","1458","NULL","5","9","10","11","5","8","10","11"
"111","革命","NULL","392","1004","1183","NULL","702","1209","1401","NULL","NULL","6","10","10","NULL","7","12","12","NULL"
"112","airflow","NULL","295","402","721","NULL","293","402","721","NULL","NULL","3","5","7","NULL","3","6","7","NULL"
"113","ALL RIGHT","NULL","446","658","815","NULL","501","720","860","NULL","NULL","4","8","9","NULL","7","8","10","NULL"
"114","bit mania","NULL","458","643","934","NULL","536","643","NULL","NULL","NULL","4","5","8","NULL","5","6","NULL","NULL"
"115","CELEBRATE NITE","NULL","471","591","714","875","471","632","731","884","NULL","5","6","8","10","5","7","8","10"
"116","Colors -Y&Co. Eurobeat Remix-","NULL","585","1029","1100","NULL","663","1068","1100","NULL","NULL","5","9","10","NULL","6","10","10","NULL"
"117","DANCER","NULL","444","522","712","NULL","547","634","845","NULL","NULL","4","5","7","NULL","4","5","8","NULL"
"118","dissolve","NULL","491","658","784","NULL","574","761","NULL","NULL","NULL","5","7","8","NULL","5","9","NULL","NULL"
"119","dual control","NULL","403","763","961","NULL","403","756","854","NULL","NULL","5","7","9","NULL","4","8","9","NULL"
"120","FLUTE MAN","NULL","299","465","553","NULL","376","472","553","NULL","NULL","4","7","8","NULL","5","7","9","NULL"
"121","Giudecca","NULL","470","1016","1381","NULL","600","1129","1392","NULL","NULL","4","9","11","NULL","5","10","11","NULL"
"122","Hormiga obrera","NULL","613","764","913","NULL","736","959","1055","NULL","NULL","5","7","8","NULL","6","8","9","NULL"
"123","HYPER BOUNDARY GATE","NULL","646","976","1115","NULL","636","955","1115","NULL","NULL","6","8","9","NULL","6","8","10","NULL"
"124","jelly kiss","NULL","373","552","656","NULL","267","503","682","NULL","NULL","4","5","8","NULL","2","5","8","NULL"
"125","LAB","NULL","534","1029","1075","NULL","547","1014","1255","NULL","NULL","5","9","10","NULL","5","10","11","NULL"
"126","LOVE IS ORANGE","NULL","399","519","903","1059","456","570","1034","1243","NULL","4","6","8","10","4","5","9","11"
"127","Luv 2 Feel Your Body","NULL","437","542","839","NULL","552","703","945","NULL","NULL","4","6","9","NULL","6","9","10","NULL"
"128","memories","NULL","578","1056","1157","NULL","578","1122","1274","NULL","NULL","5","9","9","NULL","5","10","11","NULL"
"129","murmur twins","NULL","567","854","1207","NULL","589","924","1188","NULL","NULL","5","9","11","NULL","5","10","12","NULL"
"130","MUSIC TO YOUR HEAD","NULL","415","743","849","NULL","628","769","849","NULL","NULL","4","7","9","NULL","8","8","9","NULL"
"131","OUTER LIMITS","NULL","334","670","NULL","NULL","440","572","NULL","NULL","NULL","3","6","NULL","NULL","4","8","NULL","NULL"
"132","PLEASE DON’T GO","NULL","505","715","1251","NULL","527","798","1188","NULL","NULL","5","7","12","NULL","4","9","10","NULL"
"133","rainbow flyer","NULL","422","859","1081","NULL","424","931","1167","NULL","NULL","5","9","11","NULL","4","10","11","NULL"
"134","STAR DREAM","NULL","396","677","725","NULL","592","731","NULL","NULL","NULL","5","7","9","NULL","7","8","NULL","NULL"
"135","thunder","NULL","609","817","959","NULL","608","944","1126","NULL","NULL","6","8","9","NULL","5","9","11","NULL"
"136","WAR GAME","NULL","488","789","1077","NULL","496","820","1044","NULL","NULL","4","8","10","NULL","4","7","10","NULL"
"137","World Wide Love","NULL","353","526","559","NULL","454","560","NULL","NULL","NULL","3","5","5","NULL","4","5","NULL","NULL"
"138","xenon","NULL","570","867","1379","NULL","563","865","1379","NULL","NULL","5","9","11","NULL","5","8","11","NULL"
"139","蒼い衝動","NULL","468","694","803","NULL","524","685","795","NULL","NULL","5","7","8","NULL","5","6","9","NULL"
"140","合体せよ！ストロングイェーガー！！","NULL","811","879","NULL","NULL","822","879","NULL","NULL","NULL","6","7","NULL","NULL","8","10","NULL","NULL"
"141","桜","NULL","541","819","1123","NULL","605","819","1047","NULL","NULL","7","10","12","NULL","8","10","12","NULL"
"142","Abyss -The Heavens Remix-","288","766","938","1188","1637","803","1036","1102","1557","NULL","7","10","10","11","6","9","10","11"
"143","ACT","NULL","532","864","935","NULL","637","890","1005","NULL","NULL","6","9","9","NULL","6","9","10","NULL"
"144","ADVANCE","NULL","241","444","673","NULL","370","579","620","NULL","NULL","4","6","7","NULL","5","6","7","NULL"
"145","bag","NULL","468","621","963","NULL","636","912","1023","NULL","NULL","5","6","10","NULL","6","9","10","NULL"
"146","Be Rock U (1998 burst style)","NULL","442","691","936","NULL","442","691","NULL","NULL","NULL","4","7","9","NULL","4","7","NULL","NULL"
"147","BREEDING","NULL","439","732","778","NULL","584","714","732","NULL","NULL","4","6","7","NULL","5","6","6","NULL"
"148","BRIGHTNESS DARKNESS","NULL","363","750","889","NULL","381","825","984","NULL","NULL","4","8","9","NULL","3","8","10","NULL"
"149","Cradle","NULL","466","751","803","NULL","617","784","NULL","NULL","NULL","5","8","10","NULL","6","10","NULL","NULL"
"150","Distress","NULL","691","937","NULL","NULL","993","1254","NULL","NULL","NULL","7","10","NULL","NULL","9","11","NULL","NULL"
"151","e-motion 2003 -romantic extra-","NULL","671","824","1001","NULL","715","978","NULL","NULL","NULL","6","8","10","NULL","8","10","NULL","NULL"
"152","fun","NULL","311","586","950","NULL","295","574","950","NULL","NULL","4","7","10","NULL","4","7","10","NULL"
"153","HYPER EUROBEAT (2DX style)","NULL","557","843","990","NULL","604","832","NULL","NULL","NULL","5","8","10","NULL","6","8","NULL","NULL"
"154","Let The Snow Paint Me -Y&Co. Remix-","NULL","423","644","910","NULL","420","662","989","NULL","NULL","5","6","10","NULL","5","8","9","NULL"
"155","lights","NULL","357","753","910","NULL","635","927","995","NULL","NULL","3","6","8","NULL","7","9","10","NULL"
"156","LOVE♥SHINE","270","433","921","1046","NULL","427","673","960","NULL","3","5","9","10","NULL","4","7","9","NULL"
"157","lower world","NULL","706","979","1144","NULL","705","981","1254","NULL","NULL","6","9","10","NULL","7","10","12","NULL"
"158","Make A Difference","NULL","445","846","1155","NULL","441","866","1202","NULL","NULL","5","9","10","NULL","5","9","10","NULL"
"159","moon_child","NULL","533","1026","1300","NULL","510","1049","1661","NULL","NULL","5","10","12","NULL","4","11","12","NULL"
"160","one or eight","NULL","695","985","1177","NULL","632","790","1110","1426","NULL","7","10","12","NULL","7","8","10","12"
"161","PARANOIA survivor MAX","NULL","448","662","754","NULL","448","661","NULL","NULL","NULL","5","8","9","NULL","5","7","NULL","NULL"
"162","POWER DREAM","NULL","393","818","939","NULL","581","818","879","NULL","NULL","4","8","10","NULL","5","8","8","NULL"
"163","Prelude","NULL","442","707","1034","NULL","441","707","NULL","NULL","NULL","5","6","10","NULL","4","6","NULL","NULL"
"164","Quickening","NULL","478","875","1062","NULL","440","620","1044","NULL","NULL","5","9","10","NULL","5","7","10","NULL"
"165","RISLIM -Remix-","NULL","405","508","959","NULL","521","817","1151","NULL","NULL","4","6","11","NULL","6","9","12","NULL"
"166","rottel-the-Mercury","NULL","503","963","1137","NULL","634","924","1132","NULL","NULL","6","9","10","NULL","6","9","11","NULL"
"167","Silvia Drive","NULL","429","790","1049","NULL","687","946","1364","NULL","NULL","4","8","9","NULL","7","10","11","NULL"
"168","SNOW","NULL","534","704","1038","NULL","598","762","1037","NULL","NULL","5","7","10","NULL","5","8","10","NULL"
"169","Sweet Sweet♡Magic","NULL","509","784","1032","NULL","519","786","1055","NULL","NULL","5","8","10","NULL","5","9","11","NULL"
"170","SWEETEST SAVAGE","NULL","335","704","930","NULL","551","702","965","NULL","NULL","4","7","11","NULL","6","7","11","NULL"
"171","The Biggest Roaster","NULL","314","529","583","NULL","314","629","NULL","NULL","NULL","4","6","7","NULL","4","6","NULL","NULL"
"172","The end of my spiritually","NULL","470","600","656","NULL","555","642","809","NULL","NULL","4","6","7","NULL","5","6","8","NULL"
"173","昭和企業戦士荒山課長","NULL","399","752","818","NULL","399","767","NULL","NULL","NULL","3","6","7","NULL","4","6","NULL","NULL"
"174","ライオン好き","NULL","329","600","755","NULL","329","614","NULL","NULL","NULL","4","5","7","NULL","3","6","NULL","NULL"
"175","A-JAX (3-WAY MIX)","NULL","428","680","1066","NULL","428","680","1066","NULL","NULL","4","8","10","NULL","4","8","10","NULL"
"176","ASTRAL VOYAGE","NULL","510","727","971","NULL","523","731","1087","NULL","NULL","5","6","9","NULL","5","9","10","NULL"
"177","BABY LOVE","NULL","598","865","1089","NULL","596","779","1159","NULL","NULL","6","7","10","NULL","6","7","11","NULL"
"178","Back Into The Light","NULL","602","835","1086","NULL","621","828","1160","NULL","NULL","6","7","10","NULL","6","9","10","NULL"
"179","Boundary","NULL","440","930","1031","NULL","521","967","967","NULL","NULL","4","9","9","NULL","5","9","9","NULL"
"180","Debtty Daddy","NULL","533","1008","1371","NULL","533","1008","1607","NULL","NULL","5","9","11","NULL","5","8","11","NULL"
"181","desolation","NULL","245","331","386","NULL","245","386","NULL","NULL","NULL","2","4","5","NULL","3","4","NULL","NULL"
"182","DoLL","175","478","626","810","NULL","478","645","923","NULL","NULL","5","6","7","NULL","6","7","9","NULL"
"183","EXE","NULL","448","829","1131","NULL","450","854","NULL","NULL","NULL","4","8","10","NULL","4","8","NULL","NULL"
"184","FEEL IT","NULL","474","888","1013","NULL","573","1002","1119","NULL","NULL","5","9","10","NULL","5","9","10","NULL"
"185","GHOST REVIVAL","NULL","466","1049","1311","NULL","466","1049","1409","NULL","NULL","5","9","10","NULL","4","9","12","NULL"
"186","GRADIUS -FULL SPEED-","NULL","385","643","1074","NULL","385","643","1074","NULL","NULL","4","8","10","NULL","3","7","11","NULL"
"187","HIGH","NULL","470","975","1088","NULL","692","945","1233","NULL","NULL","5","9","9","NULL","6","9","10","NULL"
"188","LIMITED","NULL","333","677","753","NULL","401","717","880","NULL","NULL","3","9","9","NULL","3","7","8","NULL"
"189","Love Is Eternity","NULL","622","1016","1215","NULL","604","1038","1417","NULL","NULL","6","9","11","NULL","6","10","12","NULL"
"190","LOW","NULL","346","767","881","NULL","614","767","957","NULL","NULL","4","8","9","NULL","5","8","10","NULL"
"191","Lucy","NULL","485","903","1167","NULL","484","908","NULL","NULL","NULL","4","9","11","NULL","4","10","NULL","NULL"
"192","Narcissus At Oasis","NULL","392","807","838","NULL","384","771","830","NULL","NULL","4","10","10","NULL","4","10","11","NULL"
"193","No.13","NULL","855","1376","1607","NULL","778","1185","1639","NULL","NULL","8","10","11","NULL","6","10","12","NULL"
"194","One More Lovely","NULL","439","832","1452","NULL","444","862","1557","NULL","NULL","5","9","12","NULL","4","10","12","NULL"
"195","pandora","NULL","455","852","931","NULL","509","805","1040","NULL","NULL","5","8","9","NULL","7","9","11","NULL"
"196","rainbow rainbow","NULL","799","1156","1377","NULL","815","1087","1400","NULL","NULL","7","10","11","NULL","7","9","11","NULL"
"197","Ready To Rockit Blues","NULL","298","533","719","NULL","548","665","808","NULL","NULL","3","6","9","NULL","5","6","9","NULL"
"198","Rise’n Beauty","NULL","652","841","1094","NULL","683","882","1159","NULL","NULL","6","9","10","NULL","6","10","11","NULL"
"199","SHOOTING STAR","NULL","651","855","1146","NULL","624","858","1178","NULL","NULL","7","8","9","NULL","6","9","11","NULL"
"200","SPACE FIGHT","NULL","328","768","1134","NULL","519","765","1190","NULL","NULL","3","8","11","NULL","6","8","11","NULL"
"201","1st Samurai","NULL","546","1016","1383","NULL","729","1016","1455","NULL","NULL","5","10","11","NULL","7","10","12","NULL"
"202","システムロマンス","NULL","458","901","1023","NULL","457","886","NULL","NULL","NULL","4","7","8","NULL","4","7","NULL","NULL"
"203","雪月花","NULL","636","979","1287","NULL","867","1153","1411","NULL","NULL","6","10","12","NULL","8","10","12","NULL"
"204","AA","NULL","642","1386","1834","NULL","659","997","1739","NULL","NULL","5","10","12","NULL","5","9","12","NULL"
"205","AGEHA","305","537","888","948","1232","464","689","903","1460","NULL","5","8","9","11","5","7","8","11"
"206","ANDROMEDA","NULL","517","973","1446","NULL","512","1109","1568","NULL","NULL","5","8","11","NULL","4","9","11","NULL"
"207","awakening","NULL","553","750","866","NULL","546","746","873","NULL","NULL","5","7","10","NULL","5","7","9","NULL"
"208","Be quiet","NULL","559","894","1114","1463","558","861","1055","1614","NULL","5","9","11","12","6","8","11","12"
"209","BLOCKS","NULL","417","675","1000","NULL","417","746","1001","NULL","NULL","5","7","11","NULL","4","7","12","NULL"
"210","BREATH","NULL","469","663","875","NULL","455","700","930","NULL","NULL","6","7","10","NULL","5","8","10","NULL"
"211","Close my Eyes for Me","NULL","529","755","948","NULL","521","751","1058","NULL","NULL","5","8","9","NULL","5","8","11","NULL"
"212","D.A.N.C.E.!","NULL","299","431","826","NULL","298","425","653","NULL","NULL","3","5","10","NULL","3","5","8","NULL"
"213","Don’t be afraid myself","NULL","566","960","1155","NULL","621","935","1094","NULL","NULL","5","9","10","NULL","6","9","10","NULL"
"214","earth scape","NULL","230","530","644","NULL","230","507","NULL","NULL","NULL","2","5","7","NULL","2","6","NULL","NULL"
"215","GENOCIDE","NULL","587","1103","1222","NULL","588","1211","1456","NULL","NULL","6","10","11","NULL","6","12","12","NULL"
"216","gigadelic","355","771","1116","1301","NULL","754","1110","1344","NULL","NULL","9","12","12","NULL","10","12","12","NULL"
"217","HORIZON","NULL","546","786","990","NULL","547","818","1027","NULL","NULL","5","7","8","NULL","5","7","9","NULL"
"218","INJECTION OF LOVE","NULL","343","532","769","NULL","359","553","NULL","NULL","NULL","4","6","9","NULL","3","7","NULL","NULL"
"219","KEY","NULL","573","950","1436","NULL","573","989","1400","NULL","NULL","6","8","11","NULL","5","8","11","NULL"
